"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","9","AI自动化测试","3","0","Web自动化功能测试","0"
"0","","0","AI自动化测试","1","0","基础功能验证","0"
"0","","0","","2","0","","0"
