"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","allure功能介绍","10","0","","0"
"0","","0","登录模块","1","0","获取token","0"
"0","","0","高血压管理卡","1","0","","0"
"0","","0","已签约居民","1","0","","0"
