2026-01-19 15:18:49,787 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455e200>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,793 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455df90>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,798 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455e140>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,801 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455e470>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,806 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455ded0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,810 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455c4c0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,812 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455df00>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,817 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455cd30>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,825 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455d030>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,828 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455c940>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,833 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455d2a0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,836 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455d5a0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,838 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455d210>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,843 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455db40>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,845 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455da50>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,848 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455e6b0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,854 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455d1e0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,856 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455d510>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,858 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455d540>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,863 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455cc70>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,865 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455cfa0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,868 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455cfd0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,872 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455df30>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,874 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455ddb0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,876 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455df00>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
